provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,37769.0,5361.0,10.0,2.0,14.2
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,ISIGHT,1411.0,200.0,0.0,0.0,14.2
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,SPAMEDICA WORCESTER,370.0,52.0,0.0,0.0,14.1
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,NEWMEDICA - NORTHAMPTON,1404.0,197.0,3.0,0.0,14.0
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,SPAMEDICA BLACKPOOL,171.0,23.0,0.0,0.0,13.5
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,MEDEFER,246.0,33.0,0.0,0.0,13.4
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,SPAMEDICA BIRMINGHAM,785.0,103.0,0.0,0.0,13.1
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,LOCALA COMMUNITY PARTNERSHIPS CIC,1249.0,161.0,1.0,0.0,12.9
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,SOUTHEND PRIVATE HOSPITAL,1038.0,133.0,0.0,0.0,12.8
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",SPAMEDICA LUTON,158.0,20.0,0.0,0.0,12.7
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",SPAMEDICA TELFORD,384.0,46.0,0.0,0.0,12.0
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,COMMUNITY HEALTH AND EYECARE LIMITED,5310.0,615.0,0.0,0.0,11.6
NHS DEVON INTEGRATED CARE BOARD,SPAMEDICA EXETER,328.0,38.0,0.0,0.0,11.6
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",SOMERSET SURGICAL SERVICES HQ,1505.0,172.0,3.0,0.0,11.4
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,645.0,72.0,0.0,0.0,11.2
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,SPAMEDICA PORTSMOUTH,196.0,22.0,0.0,0.0,11.2
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,ACES DARTFORD,367.0,41.0,0.0,0.0,11.2
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,SPIRE BUSHEY HOSPITAL,1249.0,138.0,0.0,0.0,11.0
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,NEWMEDICA - NORWICH,1611.0,176.0,1.0,0.0,10.9
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,ANGLIA COMMUNITY EYE SERVICE - THETFORD HEALTHY LIVING CENTRE,179.0,19.0,0.0,0.0,10.6
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",NEWMEDICA LEICESTER,871.0,91.0,0.0,0.0,10.4
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NEWMEDICA - BROMSGROVE,390.0,40.0,0.0,0.0,10.3
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,SPAMEDICA DALSTON,397.0,41.0,0.0,0.0,10.3
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,SPAMEDICA COLCHESTER,150.0,15.0,0.0,0.0,10.0
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,PHOENIX PUBLIC HEALTH LTD,145.0,14.0,1.0,0.0,9.7
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",SPAMEDICA WOKINGHAM,236.0,23.0,1.0,0.0,9.7
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,4364.0,413.0,0.0,0.0,9.5
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,SPAMEDICA MANCHESTER,357.0,34.0,0.0,0.0,9.5
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,SPAMEDICA NORWICH,346.0,33.0,0.0,0.0,9.5
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,SPAMEDICA SITTINGBOURNE,189.0,18.0,0.0,0.0,9.5
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,1030.0,98.0,6.0,2.0,9.5
NHS SUSSEX INTEGRATED CARE BOARD,SPAMEDICA BRIGHTON,215.0,20.0,0.0,0.0,9.3
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,NEWMEDICA - BRADFORD & HUDDERSFIELD,685.0,64.0,0.0,0.0,9.3
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NEWMEDICA - WORCESTER,814.0,76.0,0.0,0.0,9.3
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,SPAMEDICA BROMLEY,595.0,55.0,1.0,0.0,9.2
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,NEWMEDICA - IPSWICH,1169.0,107.0,0.0,0.0,9.2
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,1241.0,112.0,0.0,0.0,9.0
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPAMEDICA LIVERPOOL,393.0,35.0,0.0,0.0,8.9
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPAMEDICA HAYDOCK,296.0,25.0,1.0,0.0,8.4
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,SPAMEDICA CHELMSFORD,801.0,66.0,0.0,0.0,8.2
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,1209.0,99.0,0.0,1.0,8.2
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,CORA HEALTH MSK (FORMERLY CONNECT HEALTH LTD),18453.0,1487.0,8.0,0.0,8.1
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,SPAMEDICA COVENTRY,507.0,41.0,0.0,0.0,8.1
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,HUDDERSFIELD PRIVATE HOSPITAL,974.0,79.0,7.0,0.0,8.1
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",SPAMEDICA OXFORD,177.0,14.0,0.0,0.0,7.9
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,SPIRE ST ANTHONY'S HOSPITAL,1064.0,83.0,3.0,0.0,7.8
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,NEWMEDICA - HERTFORSHIRE - WELWYN GARDEN CITY,832.0,65.0,0.0,0.0,7.8
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",SPAMEDICA BRISTOL,156.0,12.0,1.0,0.0,7.7
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",THE STONEYGATE EYE HOSPITAL,674.0,52.0,0.0,0.0,7.7
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,1200.0,91.0,0.0,0.0,7.6
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,SPAMEDICA STOCKTON-ON-TEES,462.0,35.0,0.0,0.0,7.6
NHS DEVON INTEGRATED CARE BOARD,PLYMOUTH NEWMEDICA LTD,537.0,41.0,1.0,0.0,7.6
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,NEWMEDICA - WORKSOP - DUKERIES,162.0,12.0,0.0,0.0,7.4
NHS BLACK COUNTRY INTEGRATED CARE BOARD,SPAMEDICA WOLVERHAMPTON,661.0,49.0,0.0,0.0,7.4
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,SPAMEDICA BRADFORD,179.0,13.0,0.0,0.0,7.3
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,SPAMEDICA CAMBRIDGE,524.0,38.0,0.0,0.0,7.3
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPAMEDICA CHESTER,206.0,15.0,0.0,0.0,7.3
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,SPAMEDICA WEMBLEY,391.0,28.0,0.0,0.0,7.2
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,8953.0,643.0,0.0,0.0,7.2
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,SPAMEDICA NEWARK,540.0,38.0,5.0,0.0,7.0
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NEWMEDICA - BIRMINGHAM,949.0,65.0,0.0,0.0,6.8
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,SPAMEDICA ROMFORD,793.0,53.0,0.0,0.0,6.7
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,SPAMEDICA PRESTON,299.0,20.0,0.0,0.0,6.7
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,SPAMEDICA HULL,327.0,21.0,0.0,0.0,6.4
NHS SUSSEX INTEGRATED CARE BOARD,SPAMEDICA BEXHILL,175.0,11.0,0.0,0.0,6.3
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,SPAMEDICA LEEDS,271.0,17.0,0.0,0.0,6.3
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,ANGLIA COMMUNITY EYE SERVICES FAKENHAM,224.0,14.0,0.0,0.0,6.2
NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,TETBURY HOSPITAL TRUST LTD,257.0,16.0,0.0,0.0,6.2
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,MIDLAND EYE (EYE-DOCS LTD),643.0,40.0,0.0,0.0,6.2
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,SPAMEDICA PETERBOROUGH,504.0,31.0,0.0,0.0,6.2
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,SPAMEDICA OLDHAM,628.0,39.0,0.0,0.0,6.2
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,SPAMEDICA EYE HOSPITAL (WAKEFIELD),561.0,35.0,0.0,0.0,6.2
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,THE NEW FOSCOTE HOSPITAL LTD,342.0,21.0,0.0,0.0,6.1
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,4033.0,233.0,0.0,0.0,5.8
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,SPAMEDICA CARLISLE,738.0,42.0,0.0,0.0,5.7
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",SPAMEDICA BEDFORD,251.0,14.0,0.0,0.0,5.6
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,SPAMEDICA SALE,203.0,11.0,0.0,0.0,5.4
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL UTTOXETER,258.0,14.0,0.0,0.0,5.4
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,1962.0,104.0,2.0,0.0,5.3
NHS DORSET INTEGRATED CARE BOARD,SPAMEDICA POOLE,998.0,52.0,0.0,0.0,5.2
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NEWMEDICA - TEESSIDE - NORTH ORMESBY,1369.0,71.0,0.0,0.0,5.2
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL WEST LONDON,560.0,29.0,0.0,0.0,5.2
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,SPAMEDICA GATESHEAD,509.0,26.0,0.0,0.0,5.1
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPIRE REGENCY HOSPITAL,2057.0,104.0,0.0,0.0,5.1
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,PROBUS SURGICAL CENTRE,828.0,41.0,0.0,0.0,5.0
NHS DEVON INTEGRATED CARE BOARD,NEWMEDICA - EXETER - GLEN HOUSE,383.0,19.0,0.0,0.0,5.0
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,SPAMEDICA SHEFFIELD,379.0,19.0,0.0,0.0,5.0
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPAMEDICA WIRRAL,358.0,18.0,0.0,0.0,5.0
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",INDEPENDENT HEALTH GROUP,1091.0,55.0,0.0,0.0,5.0
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,BEACON MEDICAL SERVICES GROUP LIMITED,4433.0,212.0,0.0,0.0,4.8
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,SPAMEDICA DERBY,476.0,23.0,0.0,0.0,4.8
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,NEWMEDICA SUFFOLK - BURY ST EDMUNDS - CLARITY HOUSE,642.0,31.0,0.0,0.0,4.8
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,SPAMEDICA WATFORD,380.0,18.0,0.0,0.0,4.7
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL SHEFFIELD,258.0,12.0,0.0,0.0,4.7
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,SPAMEDICA KENDAL,447.0,21.0,0.0,0.0,4.7
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",NEWMEDICA - OXFORDSHIRE,815.0,38.0,0.0,0.0,4.7
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPAMEDICA WIDNES,283.0,13.0,0.0,0.0,4.6
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,SPAMEDICA CROYDON,157.0,7.0,0.0,0.0,4.5
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,SPAMEDICA TRURO,308.0,14.0,0.0,0.0,4.5
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,OPTEGRA LONDON EYE HOSPITAL,874.0,38.0,0.0,0.0,4.3
NHS DORSET INTEGRATED CARE BOARD,SPAMEDICA DORCHESTER,494.0,21.0,0.0,0.0,4.3
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,NOVUS HEALTH LTD,765.0,33.0,0.0,0.0,4.3
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",NEWMEDICA - SHREWSBURY,466.0,20.0,2.0,0.0,4.3
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,SPAMEDICA DONCASTER,253.0,11.0,0.0,0.0,4.3
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NEWCASTLE NEWMEDICA LTD,895.0,38.0,0.0,0.0,4.2
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",OPTEGRA EYE HOSPITAL LEICESTER,121.0,5.0,0.0,0.0,4.1
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,OPTEGRA (BIRMINGHAM EYE HOSPITAL),682.0,28.0,0.0,0.0,4.1
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,SPAMEDICA BOLTON,698.0,28.0,1.0,0.0,4.0
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,SPAMEDICA NORTH TYNESIDE,425.0,16.0,0.0,0.0,3.8
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,1585.0,59.0,0.0,0.0,3.7
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,NEWMEDICA - NOTTINGHAM,634.0,23.0,1.0,0.0,3.6
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,727.0,26.0,0.0,0.0,3.6
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,4316.0,154.0,0.0,0.0,3.6
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,PHOENIX HEALTH SOLUTIONS LIMITED HQ,589.0,21.0,0.0,0.0,3.6
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,1863.0,65.0,0.0,0.0,3.5
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,DMC HEALTHCARE,1227.0,42.0,0.0,1.0,3.4
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,SPAMEDICA EPSOM,336.0,11.0,0.0,0.0,3.3
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,THE CHRISTIE NHS FOUNDATION TRUST,3066.0,90.0,0.0,0.0,2.9
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",SPAMEDICA LEICESTER,340.0,10.0,0.0,0.0,2.9
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,SPAMEDICA CHESTERFIELD,178.0,5.0,0.0,0.0,2.8
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,FIRST COMMUNITY HEALTH AND CARE CIC,860.0,24.0,0.0,0.0,2.8
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,HEART NETWORKS,993.0,27.0,0.0,0.0,2.7
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,SPAMEDICA NEWCASTLE-UNDER-LYME,315.0,7.0,0.0,0.0,2.2
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,649.0,14.0,0.0,0.0,2.2
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL YORK,472.0,9.0,0.0,0.0,1.9
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL NEWCASTLE,436.0,7.0,0.0,0.0,1.6
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",153.0,2.0,0.0,0.0,1.3
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,OPTEGRA (MANCHESTER EYE HOSPITAL),814.0,10.0,0.0,0.0,1.2
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL PRESTON,233.0,2.0,0.0,0.0,0.9
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",COTSWOLDS SURGICAL PARTNERS,294.0,2.0,0.0,0.0,0.7
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,CLEMENTINE CHURCHILL HOSPITAL,2005.0,8.0,0.0,0.0,0.4
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,4391.0,4.0,0.0,0.0,0.1
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",COHESE HEALTHCARE,951.0,1.0,0.0,0.0,0.1
NHS SUSSEX INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL BRIGHTON,758.0,1.0,0.0,0.0,0.1
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,THE GRANGE MEDICAL CENTRE HQ,237.0,0.0,0.0,0.0,0.0
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,THE LIVING CARE GROUP,232.0,0.0,0.0,0.0,0.0
NHS FRIMLEY INTEGRATED CARE BOARD,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,100.0,0.0,0.0,0.0,0.0
NHS SOMERSET INTEGRATED CARE BOARD,ABOUT HEALTH HQ,1635.0,0.0,0.0,0.0,0.0
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,PROVIDE ENTERPRISES,152.0,0.0,0.0,0.0,0.0
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RAPID INVESTIGATION SERVICE,104.0,0.0,0.0,0.0,0.0
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,OPTEGRA (SURREY EYE HOSPITAL),859.0,0.0,0.0,0.0,0.0
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,OPTEGRA (SOLENT EYE HOSPITAL),647.0,0.0,0.0,0.0,0.0
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL MAIDSTONE,472.0,0.0,0.0,0.0,0.0
