provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,SPIRE LONDON EAST,3296.0,1305.0,36.0,0.0,39.6
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,DUCHY HOSPITAL,1620.0,640.0,23.0,0.0,39.5
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,BOSTON WEST HOSPITAL,2408.0,951.0,5.0,0.0,39.5
NHS BLACK COUNTRY INTEGRATED CARE BOARD,THE ROYAL WOLVERHAMPTON NHS TRUST,72443.0,28532.0,1642.0,0.0,39.4
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,67753.0,26541.0,426.0,0.0,39.2
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,39774.0,15464.0,470.0,0.0,38.9
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",758.0,295.0,4.0,0.0,38.9
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",44374.0,17213.0,886.0,1.0,38.8
NHS FRIMLEY INTEGRATED CARE BOARD,FRIMLEY HEALTH NHS FOUNDATION TRUST,66833.0,25956.0,604.0,0.0,38.8
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,NORTH WEST ANGLIA NHS FOUNDATION TRUST,79184.0,30606.0,408.0,0.0,38.7
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,DARTFORD AND GRAVESHAM NHS TRUST,29571.0,11440.0,349.0,0.0,38.7
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,SPIRE WELLESLEY HOSPITAL,1170.0,452.0,27.0,0.0,38.6
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,53437.0,20606.0,1909.0,0.0,38.6
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,CLIFTON PARK HOSPITAL,1443.0,555.0,2.0,0.0,38.5
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,40284.0,15491.0,851.0,0.0,38.5
